generation,genome,fitness,complete_lines,aggregate_height,holes,bumpiness
1,1,0,0.746,0.714,0.414,0.118
1,2,0,-0.967,-0.33,0.045,-0.077
1,3,0,-0.355,-0.255,0.455,0.092
1,4,0,-0.079,-0.829,-0.613,0.096
1,5,0,0.166,-0.275,0.209,0.696
1,6,0,0.711,0.535,-0.039,0.69
1,7,0,-0.642,0.354,0.684,0.313
1,8,0,0.141,-0.932,0.856,0.983
1,9,0,-0.893,-0.155,0.545,-0.516
1,10,0,0.009,-0.833,-0.843,0.264
1,11,0,0.327,-0.525,0.195,0.823
1,12,0,0.965,-0.24,0.843,0.94
1,13,0,-0.888,-0.027,-0.199,0.218
1,14,0,-0.203,0.375,0.806,-0.634
1,15,0,-0.482,0.153,-0.848,0.732
1,16,0,-0.095,-0.693,-0.669,0.393
1,17,0,-0.668,0.602,-0.919,0.236
1,18,0,0.446,0.254,0.829,-0.918
1,19,0,-0.014,-0.763,0.714,0.814
1,20,0,-0.843,-0.004,0.113,0.521
1,21,0,-0.778,0.258,0.202,-0.595
1,22,0,-0.708,0.624,0.16,-0.995
1,23,0,-0.11,0.12,-0.722,0.158
1,24,0,0.842,-0.088,-0.892,0.543
1,25,0,0.611,-0.407,0.053,0.909
1,26,0,-0.519,0.058,0.873,0.647
1,27,0,-0.27,0.616,0.274,-0.362
1,28,0,-0.69,0.813,-0.957,-0.071
1,29,0,-0.414,0.11,0.545,0.482
1,30,0,-0.185,-0.639,-0.775,-0.051
1,31,0,0.681,-0.316,0.02,0.648
1,32,0,0.449,0.496,0.131,-0.621
1,33,0,-0.284,-0.498,-0.477,0.37
1,34,0,-0.829,-0.427,-0.782,-0.201
1,35,0,0.574,0.375,-0.041,0.717
1,36,0,0.187,-0.564,-0.611,0.659
1,37,0,-0.677,-0.407,-0.157,-0.184
1,38,0,-0.746,0.516,-0.002,0.147
1,39,0,0.331,0.661,0.388,-0.288
1,40,0,0.333,-0.057,-0.984,0.323
1,41,0,-0.948,0.434,0.383,0.07
1,42,0,0.241,0.425,0.003,0.093
1,43,0,0.111,0.315,-0.098,-0.196
1,44,0,0.561,0.729,-0.646,0.457
1,45,0,-0.494,0.691,-0.138,0.843
1,46,0,-0.508,0.204,-0.371,0.796
1,47,0,0.482,-0.338,0.024,0.952
1,48,0,0.907,0.45,-0.172,-0.169
1,49,0,0.212,-0.977,0.363,0.503
1,50,0,0.034,-0.534,0.863,0.449
1,51,0,-0.689,-0.7,0.625,0.488
1,52,0,0.237,-0.5,-0.363,0.341
1,53,0,-0.231,0.245,0.93,-0.758
1,54,0,-0.598,0.1,-0.869,0.325
1,55,0,0.084,0.192,0.038,-0.535
